=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.28s]  Mówię
[705.60s - 705.60s]  what
[705.60s - 705.60s]  to
[705.60s - 705.60s]  say,
[705.60s - 705.60s]  but
[705.60s - 705.60s]  I
[705.60s - 706.20s]  don't
[706.20s - 706.20s]  know
[706.20s - 706.20s]  what
[706.20s - 706.20s]  to
[706.20s - 706.20s]  say,
[706.20s - 706.20s]  but
[706.20s - 706.22s]  I
[706.22s - 707.14s]  don't
[707.14s - 707.14s]  know
[707.14s - 707.14s]  what
[707.14s - 707.14s]  to
[707.14s - 707.14s]  say,
[707.14s - 707.14s]  but
[707.14s - 707.24s]  I
[707.24s - 707.24s]  don't
[707.24s - 707.24s]  know
[707.24s - 707.24s]  what
[707.24s - 707.24s]  to
[707.24s - 707.24s]  say,
[707.24s - 707.24s]  but
[707.24s - 707.86s]  I
[707.86s - 707.86s]  don't
[707.86s - 707.86s]  know
[707.86s - 707.86s]  what
[707.86s - 707.86s]  to
[707.86s - 707.86s]  say,
[707.86s - 707.86s]  but
[707.86s - 707.86s]  I
[707.86s - 707.90s]  don't
[707.90s - 707.90s]  know
[707.90s - 707.90s]  what
[707.90s - 707.90s]  to
[707.90s - 707.90s]  say,
[707.90s - 707.90s]  but
[707.90s - 708.20s]  I
[708.20s - 708.30s]  don't
[708.30s - 708.30s]  know
[708.30s - 708.30s]  what
[708.30s - 708.30s]  to
[708.30s - 708.30s]  say,
[708.30s - 708.30s]  but
[708.30s - 708.30s]  I
[708.30s - 708.30s]  don't
[708.30s - 708.30s]  know
[708.30s - 708.30s]  what
[708.30s - 708.30s]  to
[708.30s - 708.30s]  say,
[708.30s - 708.30s]  but
[708.30s - 708.30s]  I
[708.30s - 708.30s]  don't
[708.30s - 708.30s]  know
[708.30s - 708.30s]  what
[708.30s - 708.30s]  to
[708.30s - 708.30s]  say,
[708.30s - 708.30s]  but
[708.30s - 708.30s]  I
[708.30s - 708.30s]  don't
[708.30s - 708.30s]  know
[708.30s - 708.30s]  what
[708.30s - 708.30s]  to
[708.30s - 708.30s]  say,
[708.30s - 708.30s]  but
[708.30s - 708.30s]  I
[708.30s - 708.50s]  don't
[708.50s - 708.50s]  know
[708.50s - 708.50s]  what
[708.50s - 708.50s]  to
[708.50s - 708.50s]  say,
[708.50s - 708.50s]  but
[708.50s - 709.00s]  I
[709.00s - 709.98s]  don't
[700.00s - 700.00s]  10
[700.00s - 701.18s] -20
[701.18s - 701.18s] -20
[701.18s - 701.18s] -20
[702.34s - 702.36s]  10
[702.36s - 703.42s] -20
[703.42s - 703.42s] -20
[703.42s - 703.42s]  10
[703.42s - 703.42s] -20
[703.42s - 705.06s] -20
[705.06s - 706.42s]  10
[706.42s - 706.42s] -20
[706.42s - 707.42s] -20
[707.42s - 708.50s]  10
[708.50s - 708.50s] -20
[708.50s - 709.56s] -20
[709.56s - 710.92s]  10
[710.92s - 711.02s] -20
[711.02s - 711.74s] -20
[711.74s - 712.72s]  10
[712.72s - 713.40s] -20
[713.40s - 713.58s] -20
[713.58s - 714.40s]  10
[714.40s - 714.92s] -20
[714.92s - 715.44s] -20
[715.44s - 716.54s]  10
[716.54s - 716.78s] -20
[716.78s - 717.60s] -20
[717.60s - 718.50s]  10
[718.50s - 719.04s] -20
[719.04s - 719.78s] -20
[719.86s - 720.52s]  10
[720.52s - 720.82s] -20
[720.82s - 721.56s] -20
[721.70s - 722.48s]  10
[722.48s - 722.54s] -20
[722.54s - 723.36s] -20
[723.54s - 724.70s]  10
[724.70s - 724.70s] -20
[724.70s - 725.82s] -20
[726.02s - 726.14s]  10
[726.14s - 726.62s] -20
[726.62s - 727.34s] -20
[728.00s - 728.56s]  1
[728.56s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5
[729.98s - 729.98s] ,5,
[743.48s - 743.48s]  going
[743.48s - 743.48s]  to
[743.48s - 743.48s]  be
[743.48s - 743.48s]  able
[743.48s - 743.48s]  to
[743.48s - 743.48s]  do
[743.48s - 743.48s]  it,
[743.48s - 743.48s]  but
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  not
[743.48s - 743.48s]  sure
[743.48s - 743.48s]  if
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  going
[743.48s - 743.48s]  to
[743.48s - 743.48s]  be
[743.48s - 743.48s]  able
[743.48s - 743.48s]  to
[743.48s - 743.48s]  do
[743.48s - 743.48s]  it,
[743.48s - 743.48s]  but
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  not
[743.48s - 743.48s]  sure
[743.48s - 743.48s]  if
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  going
[743.48s - 743.48s]  to
[743.48s - 743.48s]  be
[743.48s - 743.48s]  able
[743.48s - 743.48s]  to
[743.48s - 743.48s]  do
[743.48s - 743.48s]  it,
[743.48s - 743.48s]  but
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  not
[743.48s - 743.48s]  sure
[743.48s - 743.48s]  if
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  going
[743.48s - 743.48s]  to
[743.48s - 743.48s]  be
[743.48s - 743.48s]  able
[743.48s - 743.48s]  to
[743.48s - 743.48s]  do
[743.48s - 743.48s]  it,
[743.48s - 743.48s]  but
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  not
[743.48s - 743.48s]  sure
[743.48s - 743.48s]  if
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  going
[743.48s - 743.48s]  to
[743.48s - 743.48s]  be
[743.48s - 743.48s]  able
[743.48s - 743.48s]  to
[743.48s - 743.48s]  do
[743.48s - 743.48s]  it,
[743.48s - 743.48s]  but
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  not
[743.48s - 743.48s]  sure
[743.48s - 743.48s]  if
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  going
[743.48s - 743.48s]  to
[743.48s - 743.48s]  be
[743.48s - 743.48s]  able
[743.48s - 743.48s]  to
[743.48s - 743.48s]  do
[743.48s - 743.48s]  it,
[743.48s - 743.48s]  but
[743.48s - 743.48s]  I'm
[743.48s - 743.48s]  not
[743.48s - 743.48s]  sure
[743.48s - 743.48s]  if
[743.48s - 744.32s]  I'm
[744.32s - 744.32s]  going
[744.32s - 744.32s]  to
[744.32s - 744.32s]  be
[744.32s - 744.32s]  able
[744.32s - 744.32s]  to
[744.32s - 744.32s]  do
[744.32s - 744.32s]  it,
[744.32s - 744.32s]  but
[744.32s - 744.32s]  I'm
[744.32s - 744.32s]  not
[744.32s - 744.32s]  sure
[744.32s - 744.32s]  if
[744.32s - 744.58s]  I'm
[744.58s - 744.58s]  going
[744.58s - 744.58s]  to
[744.58s - 744.58s]  be
[744.58s - 744.58s]  able
[744.58s - 744.58s]  to
[744.58s - 744.58s]  do
[744.58s - 745.40s]  it,
[745.40s - 745.40s]  but
[745.40s - 745.40s]  I'm
[745.40s - 745.40s]  not
[745.40s - 745.40s]  sure
[745.40s - 745.40s]  if
[745.40s - 745.40s]  I'm
[745.40s - 745.40s]  going
[745.40s - 745.40s]  to
[745.40s - 745.40s]  be
[745.40s - 745.40s]  able
[745.40s - 745.40s]  to
[745.40s - 745.40s]  do
[745.40s - 745.40s]  it,
[745.40s - 745.40s]  but
[745.40s - 745.40s]  I'm
[745.40s - 745.40s]  not
[745.40s - 745.40s]  sure
[745.40s - 745.40s]  if
[745.40s - 745.40s]  I'm
[745.40s - 745.40s]  going
[745.40s - 745.40s]  to
[745.40s - 745.40s]  be
[745.40s - 745.40s]  able
[745.40s - 745.40s]  to
[745.40s - 745.40s]  do
[745.40s - 745.86s]  it,
[745.86s - 746.24s]  but
[746.24s - 746.26s]  I'm
[746.26s - 746.52s]  not
[746.52s - 746.52s]  sure
[746.52s - 746.52s]  if
[746.52s - 746.80s]  I'm
[746.80s - 746.80s]  going
[746.80s - 746.80s]  to
[746.80s - 746.80s]  be
[746.80s - 746.80s]  able
[746.80s - 746.80s]  to
[746.80s - 746.80s]  do
[746.80s - 746.80s]  it,
[746.80s - 746.80s]  but
[746.80s - 747.32s]  I'm
[747.32s - 747.52s]  not
[747.52s - 747.52s]  sure
[747.52s - 747.52s]  if
[747.52s - 747.52s]  I'm
[747.52s - 747.52s]  going
[747.52s - 747.52s]  to
[747.52s - 747.52s]  be
[747.52s - 747.52s]  able
[747.52s - 747.52s]  to
[747.52s - 747.52s]  do
[747.52s - 747.52s]  it,
[747.52s - 747.52s]  but
[747.52s - 747.74s]  I'm
[747.74s - 747.74s]  not
[747.74s - 747.74s]  sure
[747.74s - 747.74s]  if
[747.74s - 747.74s]  I'm
[747.74s - 747.74s]  going
[747.74s - 747.74s]  to
[747.74s - 747.74s]  be
[747.74s - 747.74s]  able
[747.74s - 747.74s]  to
[747.74s - 747.74s]  do
[747.74s - 747.74s]  it,
[747.74s - 747.74s]  but
[747.74s - 747.82s]  I'm
[747.82s - 747.82s]  not
[747.82s - 747.82s]  sure
[747.82s - 747.82s]  if
[747.82s - 748.58s]  I'm
[748.58s - 748.58s]  going
[748.58s - 748.58s]  to
[748.58s - 748.58s]  be
[748.58s - 748.58s]  able
[748.58s - 748.58s]  to
[748.58s - 748.58s]  do
[748.58s - 757.92s]  it,
[757.92s - 757.92s]  but
[757.92s - 757.92s]  I'm
[757.92s - 757.92s]  going
[757.92s - 757.92s]  to
[757.92s - 757.92s]  be
[757.92s - 757.92s]  able
[757.92s - 757.92s]  to
[757.92s - 757.92s]  do
[757.92s - 757.92s]  it,
[757.92s - 757.92s]  I'm
[757.92s - 757.92s]  going
[757.92s - 757.92s]  to
[757.92s - 757.92s]  be
[757.92s - 757.92s]  able
[757.92s - 757.92s]  to
[757.92s - 757.92s]  do
[757.92s - 757.92s]  it,
[757.92s - 757.92s]  I'm
[757.92s - 757.92s]  going
[757.92s - 757.92s]  to
[757.92s - 757.92s]  be
[757.92s - 757.92s]  able
[757.92s - 757.92s]  to
[757.92s - 757.92s]  do
[757.92s - 757.92s]  it,
[757.92s - 757.92s]  I'm
[757.92s - 757.92s]  going
[757.92s - 757.92s]  to
[757.92s - 757.92s]  be
[757.92s - 757.92s]  able
[757.92s - 757.92s]  to
[757.92s - 757.92s]  do
[757.92s - 757.92s]  it,
[757.92s - 757.92s]  I'm
[757.92s - 757.92s]  going
[757.92s - 757.92s]  to
[757.92s - 757.92s]  be
[757.92s - 757.92s]  able
[757.92s - 757.92s]  to
[757.92s - 757.92s]  do
[757.92s - 757.92s]  it,
[757.92s - 757.92s]  I'm
[757.92s - 757.92s]  going
[757.92s - 757.92s]  to
[757.92s - 757.92s]  be
[757.92s - 757.92s]  able
[757.92s - 757.92s]  to
[757.92s - 757.92s]  do
[757.92s - 757.94s]  it,
[757.94s - 757.94s]  I'm
[757.94s - 757.94s]  going
[757.94s - 757.94s]  to
[757.94s - 757.94s]  be
[757.94s - 757.94s]  able
[757.94s - 757.94s]  to
[757.94s - 757.94s]  do
[757.94s - 757.94s]  it,
[757.94s - 757.94s]  I'm
[757.94s - 757.94s]  going
[757.94s - 757.94s]  to
[757.94s - 757.94s]  be
[757.94s - 757.94s]  able
[757.94s - 757.94s]  to
[757.94s - 757.94s]  do
[757.94s - 757.94s]  it,
[757.94s - 758.74s]  I'm
[758.74s - 758.74s]  going
[758.74s - 758.74s]  to
[758.74s - 758.74s]  be
[758.74s - 758.74s]  able
[758.74s - 758.74s]  to
[758.74s - 758.74s]  do
[758.74s - 759.78s]  it,
[759.78s - 759.78s]  I'm
[759.78s - 759.78s]  going
[759.78s - 759.78s]  to
[759.78s - 759.78s]  be
[759.78s - 759.78s]  able
[759.78s - 759.78s]  to
[759.78s - 759.78s]  do
[759.78s - 759.80s]  it,
[759.80s - 760.86s]  I'm
[760.86s - 760.86s]  going
[760.86s - 760.86s]  to
[760.86s - 760.86s]  be
[760.86s - 760.86s]  able
[760.86s - 760.86s]  to
[760.86s - 760.86s]  do
[760.86s - 760.96s]  it,
[760.96s - 761.58s]  I'm
[761.58s - 761.58s]  going
[761.58s - 761.58s]  to
[761.58s - 761.58s]  be
[761.58s - 761.58s]  able
[761.58s - 761.58s]  to
[761.58s - 761.58s]  do
[761.58s - 761.58s]  it,
[761.58s - 761.58s]  I'm
[761.58s - 761.58s]  going
[761.58s - 761.58s]  to
[761.58s - 761.58s]  be
[761.58s - 761.58s]  able
[761.58s - 761.58s]  to
[761.58s - 761.58s]  do
[761.58s - 761.58s]  it,
[761.58s - 761.58s]  I'm
[761.58s - 761.58s]  going
[761.58s - 761.58s]  to
[761.58s - 761.58s]  be
[761.58s - 761.58s]  able
[761.58s - 761.58s]  to
[761.58s - 761.58s]  do
[761.58s - 761.58s]  it,
[761.58s - 761.98s]  I'm
[761.98s - 761.98s]  going
[761.98s - 761.98s]  to
[761.98s - 761.98s]  be
[761.98s - 761.98s]  able
[761.98s - 761.98s]  to
[761.98s - 761.98s]  do
[761.98s - 761.98s]  it,
[761.98s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 762.04s]  to
[762.04s - 762.04s]  be
[762.04s - 762.04s]  able
[762.04s - 762.04s]  to
[762.04s - 762.04s]  do
[762.04s - 762.04s]  it,
[762.04s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 762.04s]  to
[762.04s - 762.04s]  be
[762.04s - 762.04s]  able
[762.04s - 762.04s]  to
[762.04s - 762.04s]  do
[762.04s - 762.04s]  it,
[762.04s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 762.04s]  to
[762.04s - 762.04s]  be
[762.04s - 762.04s]  able
[762.04s - 762.04s]  to
[762.04s - 762.04s]  do
[762.04s - 762.04s]  it,
[762.04s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 762.04s]  to
[762.04s - 762.04s]  be
[762.04s - 762.04s]  able
[762.04s - 762.04s]  to
[762.04s - 762.04s]  do
[762.04s - 762.04s]  it,
[762.04s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 762.04s]  to
[762.04s - 762.04s]  be
[762.04s - 762.04s]  able
[762.04s - 762.04s]  to
[762.04s - 762.04s]  do
[762.04s - 762.04s]  it,
[762.04s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 762.04s]  to
[762.04s - 762.04s]  be
[762.04s - 762.04s]  able
[762.04s - 762.04s]  to
[762.04s - 762.04s]  do
[762.04s - 762.04s]  it,
[762.04s - 762.04s]  I'm
[762.04s - 762.04s]  going
[762.04s - 784.46s]  to,
[784.46s - 784.46s]  że
[784.46s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.00s]  to
[785.00s - 785.00s]  nie
[785.00s - 785.00s]  jest,
[785.00s - 785.00s]  że
[785.00s - 785.34s]  to
[785.34s - 785.34s]  nie
[785.34s - 785.34s]  jest,
[785.34s - 785.34s]  że
[785.34s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.40s]  to
[786.40s - 786.40s]  nie
[786.40s - 786.40s]  jest,
[786.40s - 786.40s]  że
[786.40s - 786.64s]  to
[786.64s - 786.64s]  nie
[786.64s - 786.72s]  jest,
[786.72s - 786.72s]  że
[786.72s - 786.72s]  to
[786.72s - 786.72s]  nie
[786.72s - 786.72s]  jest,
[786.72s - 786.72s]  że
[786.72s - 786.72s]  to
[786.72s - 786.72s]  nie
[786.72s - 786.86s]  jest,
[786.86s - 786.86s]  że
[786.86s - 787.10s]  to
[787.10s - 787.16s]  nie
[787.16s - 787.16s]  jest,
[787.16s - 787.16s]  że
[787.16s - 787.16s]  to
[787.16s - 787.16s]  nie
[787.16s - 787.16s]  jest,
[787.16s - 787.16s]  że
[787.16s - 787.16s]  to
[787.16s - 787.16s]  nie
[787.16s - 787.16s]  jest,
[787.16s - 787.16s]  że
[787.16s - 787.16s]  to
[787.16s - 787.30s]  nie
[787.30s - 787.56s]  jest,
[787.56s - 787.56s]  że
[787.56s - 787.66s]  to
[787.66s - 787.86s]  nie
[787.86s - 787.86s]  jest,
[787.86s - 787.86s]  że
[787.86s - 788.12s]  to
[788.12s - 788.12s]  nie
[788.12s - 788.84s]  jest,
[788.84s - 788.84s]  że
[788.84s - 788.84s]  to
[788.84s - 788.84s]  nie
[788.84s - 788.84s]  jest,
[788.84s - 788.84s]  że
[788.84s - 788.84s]  to
[788.84s - 788.84s]  nie
[788.84s - 788.84s]  jest,
[788.84s - 788.88s]  że
[788.88s - 788.88s]  to
[788.88s - 788.88s]  nie
[788.88s - 788.88s]  jest,
[788.88s - 788.88s]  że
[788.88s - 794.88s]  tou
[794.88s - 795.70s]  teraz.
[796.00s - 796.14s]  Po
[796.14s - 796.44s]  prostu
[796.44s - 796.84s]  błynie
[796.84s - 797.28s]  wygodne
[797.28s - 798.00s]  pytaje
[798.00s - 798.28s]  dla
[798.28s - 798.66s]  mnie,
[798.66s - 798.74s]  gdzie
[798.74s - 799.86s]  wyrzuciło.
[800.84s - 800.96s]  A
[800.96s - 801.08s]  jak
[801.08s - 801.26s]  było
[801.26s - 802.02s]  pytań?
[802.18s - 802.36s]  Gdzie
[802.36s - 802.44s]  się
[802.44s - 803.26s]  wyrzuciło?
[804.30s - 804.42s]  O
[804.42s - 804.62s]  tym,
[804.62s - 804.76s]  że
[804.76s - 804.94s]  mają
[804.94s - 805.46s]  zaprasić
[805.46s - 805.84s]  zakurs
[805.84s - 809.98s]  i...
[807.00s - 807.54s]  R
[807.52s - 807.76s]  żyjemy
[807.76s - 808.12s]  płacimy
[808.12s - 808.80s]  zakupę,
[808.80s - 808.88s]  że
[808.88s - 808.94s]  nie
[808.94s - 811.00s]  pomysł.
[811.62s - 812.26s]  Jest
[812.26s - 812.42s]  na
[812.42s - 812.60s]  którą
[812.60s - 812.86s]  razie
[812.86s - 813.12s]  pytanie
[813.12s - 813.44s]  do
[813.44s - 813.90s]  ciebie,
[813.90s - 814.04s]  jeżeli
[814.04s - 814.54s]  chcesz,
[814.54s - 814.64s]  to
[814.64s - 814.76s]  ja
[814.76s - 815.06s]  mogę
[815.06s - 815.74s]  pomóc
[815.74s - 816.90s]  ci.
[817.62s - 817.96s]  Żeby
[817.96s - 818.32s]  jakoś
[818.32s - 818.42s]  nie
[818.42s - 818.90s]  wesprzeń
[818.90s - 819.28s]  duchowo
[819.28s - 819.66s]  albo
[819.66s - 820.26s]  ewentualnie
[820.26s - 820.42s]  coś
[820.42s - 821.16s]  pomóc
[821.16s - 821.54s]  podczas
[821.54s - 823.14s]  prezentacji.
[823.16s - 823.76s]  To
[823.76s - 824.14s]  taka
[824.14s - 824.50s]  pomocy
[824.50s - 825.30s]  interesujecznie
[825.30s - 826.02s]  bardzo.
[826.00s - 826.38s]  Ja
[826.40s - 826.72s]  myślę,
[826.72s - 826.82s]  że
[826.82s - 827.26s]  tak,
[827.26s - 827.54s]  wygląda
[827.54s - 827.72s]  na
[827.72s - 827.84s]  co,
[827.84s - 827.94s]  że
[827.94s - 828.12s]  po
[828.12s - 829.04s]  prostu...
[829.16s - 829.22s]  Nie
[829.22s - 829.48s]  wyrabią
[829.48s - 830.74s]  czasowo.
[830.82s - 830.82s]  I
[830.82s - 831.30s]  każda
[831.30s - 831.62s]  pomog
[831.62s - 832.06s]  byłaby
[832.06s - 833.36s]  potrzebna.
[834.56s - 835.12s]  Okej,
[835.12s - 835.28s]  to
[835.28s - 835.42s]  ja
[835.42s - 835.52s]  mam
[835.52s - 835.80s]  taki
[835.80s - 836.10s]  wybranie,
[836.10s - 836.40s]  że
[836.40s - 837.52s]  mógłbyś
[837.52s - 837.60s]  w
[837.60s - 837.84s]  takim
[837.84s - 838.12s]  razie
[838.12s - 838.56s]  zapytać,
[838.66s - 839.28s]  doorganizatów
[839.28s - 839.56s]  skoro
[839.56s - 839.76s]  ty
[839.76s - 840.14s]  jesteś
[840.14s - 840.28s]  tam
[840.28s - 841.28s]  zaproszonych
[841.28s - 841.40s]  i
[841.40s - 841.40s]  w
[841.40s - 841.40s]  tym
[841.40s - 842.00s]  masterclass
[842.00s - 842.16s]  i
[842.16s - 842.24s]  w
[842.24s - 843.08s]  ogóle,
[843.08s - 843.22s]  gdzie
[843.22s - 843.38s]  oni
[843.38s - 843.56s]  się
[843.56s - 844.04s]  zgadzają
[844.04s - 844.24s]  na
[844.24s - 844.42s]  mój
[844.42s - 844.66s]  udział
[844.66s - 845.20s]  bestej
[845.78s - 845.90s]  i
[845.90s - 845.94s]  jego
[845.94s - 847.86s]  prelegenta,
[847.86s - 847.96s]  a
[847.96s - 848.06s]  nie
[848.06s - 848.88s]  uczestnikażni
[848.88s - 849.38s]  bestej
[849.60s - 849.60s]  to
[849.60s - 850.64s]  były
[850.64s - 851.06s]  kłaty
[851.06s - 851.50s]  za
[851.50s - 852.02s]  ciastką
[853.24s - 854.52s]  No,
[854.52s - 854.80s]  ok,
[854.80s - 854.88s]  jest
[854.88s - 855.28s]  opytam
[857.48s - 858.14s]  Dzięki,
[858.14s - 858.16s]  no
[858.16s - 858.28s]  to
[858.28s - 858.48s]  będziemy
[858.48s - 858.78s]  mieli
[858.78s - 859.16s]  jasno
[859.30s - 859.38s]  a
[859.38s - 859.70s]  jak
[859.70s - 859.88s]  by
[859.88s - 860.00s]  się
